1, 🎄겨울에 ☃️ 태어난🤱🏻 아름다운🦋 당신은💙 눈처럼❄️ 깨끗한✨ 나만의 당신💙 생일 축하합니다🎂 생일축하합니다 🍰 생일 축하합니다 🎉  당신의 생일을❣️🎁❣️ Happy birthday to you 🎉🎂✨ (Happy birthday to you 🎊) Happy birthday to you 🎉🍰🎁 (Happy birthday to you ✨)  
2, 어머어머👏👏 오늘 생일이라고?😆 정말정말😉 생일축하해❣️🎉 🎉 생일선물은 🎁  여기서🍗🍔🍕골라봐 뭐⁉️ 맘에 드는게 없다구❓ 그럼🥓🥩🍖🌭🍣🍝🥗🍫🍮🍩여기서 골라봐‼️뭐⁉️ 맘에 드는게 없다구 ⁉️그럼 선물은🧸  나야 
3, 자기야💕 오늘의 자기 생일이야 💝 태어나줘서 ･ﾟ* 🎀 고마워 🎀 *ﾟ･  나 자기 없으면 🙅🏻‍♀️ 못살아 🤦🏻‍♀️ 내 인생엔 자기뿐 💓 생일 너무너무 축하해 🎂 자기야💕 오늘의 자기 생일이야 💝 태어나줘서 ･ﾟ* 🎀 고마워 🎀 *ﾟ･  나 자기 없으면 🙅🏻‍♀️ 못살아 🤦🏻‍♀️ 내 인생엔 자기뿐 💓 생일 너무너무 축하해 🎂
4, 생일 축하합니다👏 생일 축하합니다 🎁 사랑하는 내 사랑 💝생일 축하합니다 🎉생일 축하합니다👏 생일 축하합니다 🎁 사랑하는 내 사랑 💝생일 축하합니다 🎉
5, 뭐어⁉️ 생일이라고⁉️ 💃🏼🕺 축하축하룽👯‍♀️ 축하축하룽🧚🏻‍♀️ 축하축하룽🤸‍♀️축하축하룽🤹 축하축하룽🎷 축하축하룽🎸 축하축하룽🎤 축하축하룽🎻 축하축하룽🚀 축하축하룽🎡 축하축하룽🎇 축하축하룽🎉 축하축하룽🎊 축하축하룽🎀 축하축하룽🛍 축하축하룽🎁
6, 생일 축하해, 경환! 네가 있어서 세상이 더 밝아!
7, 오늘은 경환 데이! 생일 축하하고 맛있는 거 먹자!
8, 경환아, 생일 축하해. 언제나 응원하는 거 알지?
9, 가장 특별한 사람의 가장 특별한 날! 생일 축하해, 경환!
10, 경환, 생일 진심으로 축하하고 올해도 함께하자!
11, 네가 있어서 정말 행복해. 생일 축하해, 경환!
12, 경환아, 오늘 하루만큼은 모든 게 너 위주로 돌아가길!
13, 세상에서 제일 좋은 친구 경환, 생일 축하해!
14, 경환아, 특별한 네 생일에 진심으로 축하를 보낸다!
15, 경환아, 네가 원하는 건 뭐든 다 이루어지는 한 해 되길!
16, 생일 축하해, 경환! 네가 있어서 우리 모두 행복해!
17, 경환아, 오늘은 네가 주인공! 진심으로 축하해!
18, 경환아, 맛있는 거 많이 먹고 최고의 하루 보내!
19, 생일 축하해, 경환! 올해는 더 멋진 일이 가득할 거야!
20, 경환아, 네가 태어난 날을 함께 축하할 수 있어 기뻐!
21, 우리 경환이, 생일 정말 축하해!
22, 경환아, 사랑과 행복이 가득한 하루 되길 바래!
23, 세상에서 제일 멋진 친구, 생일 축하한다!
24, 경환아, 오늘 하루만큼은 고민 없이 즐기길 바라!
25, 생일 축하해, 경환! 넌 항상 최고야!
26, 경환아, 네가 내 친구라서 정말 고마워. 축하해!
27, 경환아, 오늘만큼은 세상이 너 중심으로 돌아간다!
28, 생일 축하해, 경환! 네가 있어 세상이 더 아름다워!
29, 경환아, 행복과 웃음으로 가득한 하루 보내!
30, 생일 축하해, 경환! 우리 우정도 오래오래 함께하자!
31, 오늘은 경환의 날! 축하하고 사랑한다!
32, 경환아, 네 생일을 함께 축하할 수 있어 정말 행복해!
33, 경환아, 너의 특별한 날이니까 웃음만 가득하길!
34, 생일 축하해, 경환! 너의 모든 노력이 빛을 발하길!
35, 경환아, 언제나 응원해. 생일 축하해!
36, 경환아, 오늘 하루는 온전히 너만을 위한 시간!
37, 생일 축하해, 경환! 멋진 추억으로 가득한 날 되길!
38, 경환아, 오늘은 축하받아도 부족한 날이야! 생일 축하해!
39, 생일 축하해, 경환! 네가 있어서 내 삶이 더 빛나!
40, 경환아, 네 생일엔 항상 즐거운 일이 가득했으면 해!
41, 경환아, 오늘만큼은 네가 주인공! 진심으로 축하해!
42, 생일 축하해, 경환! 너에게 가장 멋진 한 해가 되길!
43, 경환아, 오늘 하루는 너를 위해 준비된 선물이야!
44, 생일 축하해, 경환! 언제나 웃음 가득한 너이길!
45, 경환아, 너의 특별한 날이 더 특별해지길 바라!
46, 경환아, 태어나줘서 고마워. 축하하고 사랑한다!
47, 생일 축하해, 경환! 네가 곁에 있어 정말 행복해!
48, 경환아, 올해도 너와 함께해서 정말 고마워!
49, 생일 축하해, 경환! 오늘 하루가 특별했으면 좋겠다!
50, 경환아, 네가 행복할 때가 내가 제일 행복해. 축하해!
51, 오늘만큼은 세상에서 제일 행복한 날이 되길, 생일 축하해!
52, 경환아, 네가 최고야! 생일 축하한다!
53, 생일 축하해, 경환! 맛있는 거 많이 먹고 행복하자!
54, 경환아, 네가 태어난 날을 진심으로 축하해!
55, 경환아, 오늘은 네가 세상에서 가장 소중한 날!
56, 생일 축하해, 경환! 네가 바라는 꿈 모두 이루길!
57, 경환아, 오늘은 너의 모든 순간이 축복받기를 바라!
58, 생일 축하해, 경환! 너와 함께한 모든 시간이 소중해!
59, 경환아, 너의 밝은 웃음처럼 따뜻한 하루 되길!
60, 생일 축하해, 경환! 오늘 하루가 행복으로 가득하길!
61, 경환아, 생일 축하해! 🎉 오늘 하루 내 사랑으로 더 가득 채워줄게! ❤️
62, 생일 축하해, 자기야! 너만을 위한 특별한 하루 준비했어! 🎂💝
63, 경환아, 오늘도 내일도 널 사랑해. 생일 진심으로 축하해! 🥳💌
64, 우리 경환이 생일! 세상에서 제일 멋진 남자친구라서 너무 자랑스러워! 💖✨
65, 생일 축하해, 자기! 올해도 나랑 함께 행복하자! 💕
66, 경환아, 오늘 하루만큼은 세상이 너를 위해 존재하는 날이야! 🥰🎁
67, 사랑하는 경환이 생일 축하해! 너 없는 하루는 상상도 못 해! 💓🎉
68, 내 사랑 경환, 생일 축하하고 올해도 더 많이 사랑해줄게! 🌹❤️
