edit_history_tweet_ids,text,id,created_at
['1860863767829262465'],"RT @gooreumseng:  축하해    여러분 
 감사합니다❤
 행복했어요
무엇보다 하늘이들이  생일날  행복해하시는    행복하고 감사한 생일이었습니다
💜 #2023 #화이팅 #생일축하
#고마워 #…",1860863767829262465,2024-11-25T01:51:10.000Z
['1860725448441041070'],"RT @Lion_berryqueen: 별라에용!!   멤버들과     해드리기  왔어욧!!
@byulla159 # #생일축하 # https://t.co/RSQiLoGRCW",1860725448441041070,2024-11-24T16:41:32.000Z
['1860703741743395259'],"별라에용!!   멤버들과     해드리기  왔어욧!!
@byulla159 # #생일축하 # https://t.co/RSQiLoGRCW",1860703741743395259,2024-11-24T15:15:16.000Z
['1860606913387659320'],"RT @sys1125zx5: 루시안과  생일이 내일인데  소소한 이벤트를 엽니다.
루시안이 사주는 스타벅스 카페라떼 ☆
   남겨주신 분들께 랜덤으로  뽑아서 쿠폰을 드리겠습니다!
 접트가 망이기도   안써신 트친분들…",1860606913387659320,2024-11-24T08:50:31.000Z
['1860495599944237320'],"루시안과  생일이 내일인데  소소한 이벤트를 엽니다.
루시안이 사주는 스타벅스 카페라떼 ☆
   남겨주신 분들께 랜덤으로  뽑아서 쿠폰을 드리겠습니다!
 접트가 망이기도   안써신 트친분들께 감사하는 맘으로 엽니다.
  7시에 마감합니다!
#생일축하 https://t.co/HFRvR90K9p",1860495599944237320,2024-11-24T01:28:12.000Z
['1859806604545360367'],"RT @bM2YN7LYIG7sNgL: 김호중 33번째  축하해요🍰
#김호중 #생일축하 #komhojoong
#tvarotti #金浩仲
10월의   태어난  김호중
 테너가    김호중
💜사랑해💜 https://t.co/7…",1859806604545360367,2024-11-22T03:50:22.000Z
['1859600767763562930'],"RT @thesaem: 🔔오늘은  지훈이 # 탄신일🔔

, , 작곡까지  PERFECT한
팔방미남 우지의 24번째 생일을
진심으로 축하합니다🎉

 #더샘_인스타그램 에서는
어디서도  
 비하인드  단독공개!
👉 htt…",1859600767763562930,2024-11-21T14:12:27.000Z
['1859600753213440459'],"RT @thesaem: Happy Birthday # !
   Q&amp;A 

그동안 우지에게 궁금했던 ,
더샘이  물어봐드릴게요👍

우지의 답변은 12월에 공개될 예정입니다.
 ~ 해주세요😀
.
# #글로벌에코더샘 #…",1859600753213440459,2024-11-21T14:12:23.000Z
['1859422011317157929'],"#생일축하
슈토쿠 농구부 1학년 ,  아이를   [#타카오 카즈나리]  축하합니다!🎉

💌 : BDXKZKDH1121
🕓유효기간: 11월 21일()~12월 5일() 24:00
#쿠로코의농구 #스포츠게임 https://t.co/eJQkclSfdr",1859422011317157929,2024-11-21T02:22:08.000Z
['1859330153014493489'],"RT @chunghakadcom: #위아이 # 생일을 기념하여
#월드컵아이파크앞  정류장에
축하광고가  되었어요😘

2024.11.20🎂
HAPPY JUNSEO DAY
🎉🎉

준서야,  축하해❣️

#WEi #JUNSEO #Birthd…",1859330153014493489,2024-11-20T20:17:07.000Z
['1859329979118698498'],"RT @chunghakadcom: #위아이 # 생일을 기념하여
#마포중앙도서관앞  정류장에
축하광고가  되었어요😘

2024.11.20🎂
Happy JUNSEO Day
🎉🎉

사랑하는 ✨
태어나  고마워💞
 영원히  !…",1859329979118698498,2024-11-20T20:16:26.000Z
['1859144887285039178'],"#온리원오브 # 생일을 축하하며
#부산시청역  버스정류장 광고가
 되었어요😍

2024.12.13🎂

나인아✨
 축하해❣️

#OnlyOneOf #Nine #Birthday
#オンリーワンオブ #ナイン
# #생일축하 #버스정류장
#아이돌광고 #팬클럽광고
#청학애드컴 https://t.co/SCTnOUm25N",1859144887285039178,2024-11-20T08:00:57.000Z
['1858931581093900399'],"RT @offclASTRO: 엠제이형!!! 생일축하드리옵니다!! 
  빠르네요 앞자리가 3이지만  영원한 3살이야..  덕분에   분위기도   감사하게 생각합니다   누구보다 행복하게 보내십쇼 사랑합니다😍 
#로하의_해…",1858931581093900399,2024-11-19T17:53:20.000Z
